Class | Session | Term | Fee Items (Name:Amount) | Total Fee | Status
----------------------------------------------------------------------
Grade 1 | 2025-2026 | First Term | Tuition:4384.00, Library:4451.00 | 8,835.00 | COMPLETE
Grade 1 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 1 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | First Term | Tuition:2300.00, Library:4274.00 | 6,574.00 | COMPLETE
Grade 2 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2022-2023 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2023-2024 | Third Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | First Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | Second Term | N/A | 0.00 | MISSING
Grade 2 | 2024-2025 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | First Term | Tuition:2981.00, Library:4232.00 | 7,213.00 | COMPLETE
Grade 3 | 2025-2026 | Second Term | N/A | 0.00 | MISSING
Grade 3 | 2025-2026 | Third Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | First Term | N/A | 0.00 | MISSING
Grade 3 | 2022-2023 | Second Term | N/A | 0.00 | MISSING
